city,source,emission,metric,domain,value
Guadalajara,roadways_tertiary,SOx,iF,city,6.682721950311305
Guadalajara,roadways_tertiary,SOx,iF,total,12.056774292277183
Guadalajara,roadways_tertiary,VOC,population,city,1.2152207681383276e+06
Guadalajara,roadways_tertiary,VOC,population,total,1.517894060535406e+08
Guadalajara,roadways_tertiary,VOC,exposure,city,0.05222397499900675
Guadalajara,roadways_tertiary,VOC,exposure,total,0.0007591942156274585
Guadalajara,roadways_tertiary,VOC,iF,city,0.3474635330990757
Guadalajara,roadways_tertiary,VOC,iF,total,0.6309260739048312
Guadalajara,roadways,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,roadways,PM2_5,population,total,1.517894060535406e+08
Guadalajara,roadways,PM2_5,exposure,city,1.7041778950810889
Guadalajara,roadways,PM2_5,exposure,total,0.023629303635401097
Guadalajara,roadways,PM2_5,iF,city,11.338464229608775
Guadalajara,roadways,PM2_5,iF,total,19.637061854412742
Guadalajara,roadways,NH3,population,city,1.2152207681383276e+06
Guadalajara,roadways,NH3,population,total,1.517894060535406e+08
Guadalajara,roadways,NH3,exposure,city,0.338711601246504
Guadalajara,roadways,NH3,exposure,total,0.0049144482514735565
Guadalajara,roadways,NH3,iF,city,2.253561313036664
Guadalajara,roadways,NH3,iF,total,4.084137466916877
Guadalajara,roadways,NOx,population,city,1.2152207681383276e+06
Guadalajara,roadways,NOx,population,total,1.517894060535406e+08
Guadalajara,roadways,NOx,exposure,city,0.13003932578259592
Guadalajara,roadways,NOx,exposure,total,0.0019308559525141043
Guadalajara,roadways,NOx,iF,city,0.8651950292772975
Guadalajara,roadways,NOx,iF,total,1.6046320431836496
Guadalajara,roadways,SOx,population,city,1.2152207681383276e+06
Guadalajara,roadways,SOx,population,total,1.517894060535406e+08
Guadalajara,roadways,SOx,exposure,city,0.9687477344613457
Guadalajara,roadways,SOx,exposure,total,0.01420143837093578
Guadalajara,roadways,SOx,iF,city,6.445401953873986
Guadalajara,roadways,SOx,iF,total,11.802062727480909
Guadalajara,roadways,VOC,population,city,1.2152207681383276e+06
Guadalajara,roadways,VOC,population,total,1.517894060535406e+08
Guadalajara,roadways,VOC,exposure,city,0.04942857170856137
Guadalajara,roadways,VOC,exposure,total,0.000734430659359686
Guadalajara,roadways,VOC,iF,city,0.32886478216612947
Guadalajara,roadways,VOC,iF,total,0.6103463948051502
Guadalajara,waterways,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,waterways,PM2_5,population,total,1.517640136804142e+08
Guadalajara,waterways,PM2_5,exposure,city,1.1513489725895358
Guadalajara,waterways,PM2_5,exposure,total,0.018743571790636696
Guadalajara,waterways,PM2_5,iF,city,7.660308926188778
Guadalajara,waterways,PM2_5,iF,total,15.574183278955722
Guadalajara,waterways,NH3,population,city,1.2152207681383276e+06
Guadalajara,waterways,NH3,population,total,1.517640136804142e+08
Guadalajara,waterways,NH3,exposure,city,0.22882595251065127
Guadalajara,waterways,NH3,exposure,total,0.003911755378367001
Guadalajara,waterways,NH3,iF,city,1.5224554225453804
Guadalajara,waterways,NH3,iF,total,3.2503087397441557
Guadalajara,waterways,NOx,population,city,1.2152207681383276e+06
Guadalajara,waterways,NOx,population,total,1.517640136804142e+08
Guadalajara,waterways,NOx,exposure,city,0.08787635851172325
Guadalajara,waterways,NOx,exposure,total,0.0015349952120250457
Guadalajara,waterways,NOx,iF,city,0.5846707380076893
Guadalajara,waterways,NOx,iF,total,1.2754397631053378
Guadalajara,waterways,SOx,population,city,1.2152207681383276e+06
Guadalajara,waterways,SOx,population,total,1.517640136804142e+08
Guadalajara,waterways,SOx,exposure,city,0.6578282095261243
Guadalajara,waterways,SOx,exposure,total,0.01101144571072383
Guadalajara,waterways,SOx,iF,city,4.376750598906601
Guadalajara,waterways,SOx,iF,total,9.149498056221779
Guadalajara,waterways,VOC,population,city,1.2152207681383276e+06
Guadalajara,waterways,VOC,population,total,1.517640136804142e+08
Guadalajara,waterways,VOC,exposure,city,0.033395229801609416
Guadalajara,waterways,VOC,exposure,total,0.000588628904649353
Guadalajara,waterways,VOC,iF,city,0.22218960804388105
Guadalajara,waterways,VOC,iF,total,0.4890964511299567
Guadalajara,bus_routes,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,bus_routes,PM2_5,population,total,1.5178940605354062e+08
Guadalajara,bus_routes,PM2_5,exposure,city,1.822305842053784
Guadalajara,bus_routes,PM2_5,exposure,total,0.025217971780721077
Guadalajara,bus_routes,PM2_5,iF,city,12.124408880770499
Guadalajara,bus_routes,PM2_5,iF,total,20.95731974762654
Guadalajara,bus_routes,NH3,population,city,1.2152207681383276e+06
Guadalajara,bus_routes,NH3,population,total,1.5178940605354062e+08
Guadalajara,bus_routes,NH3,exposure,city,0.36173112639276706
Guadalajara,bus_routes,NH3,exposure,total,0.005226616785694803
Guadalajara,bus_routes,NH3,iF,city,2.4067178955782205
Guadalajara,bus_routes,NH3,iF,total,4.3435641901961874
Guadalajara,bus_routes,NOx,population,city,1.2152207681383276e+06
